//===== rAthena Script =======================================
//= Payon Cave Monster Spawn Script
//===== By: ==================================================
//= Athena (1.0)
//===== Current Version: =====================================
//= 1.3
//===== Compatible With: =====================================
//= rAthena Project
//===== Additional Comments: =================================
//= 1.1 Official kRO 10.1 spawns [Playtester]
//= 1.2 Small spawn update [Playtester]
//= 1.3 Corrected MVP spawn variance. [L0ne_W0lf]
//============================================================

//==================================================
// pay_dun00 - Payon Cave F1
//==================================================
pay_dun00,0,0	monster	ÎüÑªòùòğ	1005,15
pay_dun00,0,0	monster	¸¯Ê¬	1015,20
pay_dun00,0,0	monster	Ğ°º¡Õ½Ê¿	1076,35
pay_dun00,0,0	monster	²¨²¨Àû	1031,15
pay_dun00,0,0	monster	ºì²İ	1078,15,180000,90000
pay_dun00,140,140,5,5	monster	ºÚ¹½	1084,3,360000,180000

//==================================================
// pay_dun01 - Payon Cave F2
//==================================================
pay_dun01,0,0	monster	ºìòùòğ	1111,5
pay_dun01,0,0	monster	×ª×ªµ°	1116,15
pay_dun01,0,0	monster	Ğ°º¡Ê¿±ø	1028,50,300000,150000
pay_dun01,0,0	monster	Ğ°º¡¹­¼ıÊÖ	1016,30,300000,150000
pay_dun01,235,54,10,10	monster	ºÚ¹½	1084,7,900000,450000
pay_dun01,0,0	monster	ºì²İ	1078,10,180000,90000

//==================================================
// pay_dun02 - Payon Cave F3
//==================================================
pay_dun02,0,0	monster	Ğ°º¡Ê¿±ø	1028,15,180000,90000
pay_dun02,0,0	monster	½©Ê¬	1026,40
pay_dun02,0,0	monster	ÑıµÀ	1188,30
pay_dun02,0,0	monster	²¨²¨Àû	1031,10
pay_dun02,0,0	monster	Ğ°º¡¹­¼ıÊÖ	1016,20,180000,90000
pay_dun02,116,205	monster	º£¿û	1068,1,345000,100000
pay_dun02,116,199	monster	º£¿û	1068,1,306000,100000
pay_dun02,116,196	monster	º£¿û	1068,1,300000,100000
pay_dun02,116,190	monster	º£¿û	1068,1,326000,100000
pay_dun02,117,206	monster	º£¿û	1068,1,302000,100000
pay_dun02,117,200	monster	º£¿û	1068,1,275000,100000
pay_dun02,117,197	monster	º£¿û	1068,1,314000,100000
pay_dun02,117,191	monster	º£¿û	1068,1,300000,100000
pay_dun02,118,207	monster	º£¿û	1068,1,332000,100000
pay_dun02,118,201	monster	º£¿û	1068,1,300000,100000
pay_dun02,118,198	monster	º£¿û	1068,1,312000,100000
pay_dun02,118,192	monster	º£¿û	1068,1,285000,100000
pay_dun02,119,205	monster	º£¿û	1068,1,324000,100000
pay_dun02,119,199	monster	º£¿û	1068,1,300000,100000
pay_dun02,119,196	monster	º£¿û	1068,1,315000,100000
pay_dun02,120,203	monster	º£¿û	1068,1,300000,100000
pay_dun02,120,200	monster	º£¿û	1068,1,303000,100000
pay_dun02,120,194	monster	º£¿û	1068,1,300000,100000
pay_dun02,121,200	monster	º£¿û	1068,1,333000,100000
pay_dun02,122,200	monster	º£¿û	1068,1,300000,100000
pay_dun02,122,197	monster	º£¿û	1068,1,321000,100000
pay_dun02,110,194	monster	º£¿û	1068,1,300000,100000
pay_dun02,113,194	monster	º£¿û	1068,1,319000,100000
pay_dun02,109,193	monster	º£¿û	1068,1,300000,100000
pay_dun02,113,193	monster	º£¿û	1068,1,300000,100000
pay_dun02,109,192	monster	º£¿û	1068,1,374000,100000
pay_dun02,112,192	monster	º£¿û	1068,1,300000,100000
pay_dun02,108,191	monster	º£¿û	1068,1,332000,100000
pay_dun02,111,191	monster	º£¿û	1068,1,300000,100000
pay_dun02,107,190	monster	º£¿û	1068,1,320000,100000
pay_dun02,110,190	monster	º£¿û	1068,1,300000,100000
pay_dun02,227,185	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun02,227,184	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun02,229,183	monster	ÂüÍÓÂŞÄ§»¨	1020,1,300000,100000
pay_dun02,214,266	monster	ºì²İ	1078,1,600000,300000
pay_dun02,37,243	monster	ºÚ¹½	1084,1,600000,300000
pay_dun02,37,243	monster	¾ÅÎ²ºü	1180,1,3600000,1800000
pay_dun02,111,199,10,10	monster	ºÚ¹½	1084,7,900000,450000
